Simulation,Predator,PredatorStage,Source,TimeMeanPercent,NTimeStepsObserved
1,WinterFlounder,"WinterFlounder in [26.799999, inf[",Plankton,0,20
1,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Benthos,86.542369,20
1,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Fish,12.537551763564911,20
1,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Plankton,0.920079105,20
2,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Benthos,0,20
2,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Fish,0.31896612585276407,20
2,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Plankton,99.6810344323,20
2,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Benthos,0,20
2,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Fish,36.89123835939839,20
2,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Plankton,63.10876205,20
2,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Benthos,0,20
2,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Fish,4.568269882983442,20
2,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Plankton,95.4317291742795,20
2,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Benthos,0,20
2,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Fish,0.10493365053255824,20
2,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Plankton,99.8950660757,20
2,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Benthos,0,20
2,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Fish,73.2016279958,20
2,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Plankton,26.7983718,20
2,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Benthos,0,20
2,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Fish,26.5838632487789,20
2,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Plankton,73.4161357,20
2,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Benthos,63.6091215,2
